county,month,year,republicanfatalities
Wexford,6,1920,0
Wexford,7,1920,0
Wexford,8,1920,0
Wexford,9,1920,0
Wexford,10,1920,1
Wexford,11,1920,0
Wexford,12,1920,4
Wexford,1,1921,0
Wexford,2,1921,0
Wexford,3,1921,0
Wexford,4,1921,0
Wexford,5,1921,0
Wexford,6,1921,0
Wexford,7,1921,0
Wexford,8,1921,0
Wexford,9,1921,0
Wexford,10,1921,0
Wexford,11,1921,0
Wexford,12,1921,0
Wicklow,1,1919,0
Wicklow,2,1919,0
Wicklow,3,1919,0
Wicklow,4,1919,0
Wicklow,5,1919,0
Wicklow,6,1919,0
Wicklow,7,1919,0
Wicklow,8,1919,0
Wicklow,9,1919,0
Wicklow,10,1919,0
Wicklow,11,1919,0
Wicklow,12,1919,0
Wicklow,1,1920,0
Wicklow,2,1920,0
Wicklow,3,1920,0
Wicklow,4,1920,0
Wicklow,5,1920,0
Wicklow,6,1920,0
Wicklow,7,1920,0
Wicklow,8,1920,0
Wicklow,9,1920,0
Wicklow,10,1920,0
Wicklow,11,1920,0
Wicklow,12,1920,1
Wicklow,1,1921,0
Wicklow,2,1921,0
Wicklow,3,1921,0
Wicklow,4,1921,0
Wicklow,5,1921,0
Wicklow,6,1921,0
Wicklow,7,1921,0
Wicklow,8,1921,0
Wicklow,9,1921,0
Wicklow,10,1921,0
Wicklow,11,1921,0
Wicklow,12,1921,0
